#{"t_start": 1678199108.179441, "env_id": "Pendulum-v0"}
r,l,t
-2.157732,200,1676.095112
-1.858931,200,1679.961524
-125.655786,200,1683.717552
-306.502878,200,1687.694772
-119.209451,200,1693.337832
-121.785475,200,1697.266142
-113.421221,200,1701.053964
-1.183234,200,1706.166371
-231.014109,200,1711.639254
-319.357763,200,1715.35677
-121.859378,200,1719.128067
-2.169786,200,1725.063479
-117.486349,200,1728.860938
-123.627282,200,1732.617105
-233.592318,200,1737.395358
-114.587639,200,1742.290699
-218.265095,200,1746.643214
-225.470707,200,1751.047313
-120.881823,200,1756.845253
-123.718238,200,1760.522373
-216.226575,200,1764.281645
-123.206727,200,1768.625662
-2.586254,200,1773.939354
-222.539432,200,1777.839768
-225.510249,200,1781.681159
-219.734558,200,1787.398462
-220.934707,200,1791.685531
-0.486736,200,1795.456026
-116.582435,200,1799.363806
-233.472625,200,1805.05336
-236.62356,200,1808.902996
-258.181166,200,1814.382772
-124.040285,200,1821.943985
-123.858246,200,1827.515898
-218.451447,200,1831.712365
-369.68421,200,1837.179556
-234.873294,200,1841.232566
-227.800787,200,1846.907593
-257.292801,200,1853.753904
-122.882959,200,1860.428153
-127.374699,200,1866.73894
-127.920591,200,1872.453041
-4.389103,200,1876.821194
-129.983048,200,1881.627373
-127.06743,200,1887.91924
-118.101383,200,1895.921829
-117.222277,200,1904.296371
-284.071768,200,1909.120408
-121.301822,200,1916.779436
-8.627063,200,1922.269676
-125.255174,200,1927.003061
-5.463744,200,1932.931076
-223.980372,200,1937.451046
-231.6859,200,1942.006675
-120.243481,200,1951.09025
-130.065806,200,1957.967804
-128.656599,200,1964.764975
-118.984066,200,1970.237367
-117.036902,200,1975.601828
-116.65994,200,1981.930104
-121.648653,200,1986.219079
-244.25277,200,1990.935305
-327.914305,200,1997.565313
-122.27731,200,2002.254001
-221.083128,200,2006.510126
-129.345102,200,2013.675648
-117.098669,200,2018.384373
-126.251304,200,2022.989415
-118.179166,200,2031.345853
-124.898929,200,2036.845656
-5.219635,200,2043.687195
-240.288016,200,2049.51203
-121.4132,200,2055.008879
-121.277444,200,2062.282368
-244.731478,200,2069.317599
-125.809367,200,2076.17947
-250.795299,200,2082.389605
-228.404933,200,2088.246018
-121.795063,200,2095.562773
-6.273407,200,2102.197218
-121.957254,200,2109.631121
-136.252191,200,2116.292678
-229.66696,200,2123.275628
-134.511211,200,2128.115038
-138.870945,200,2133.595372
-13.92397,200,2140.759303
-260.035744,200,2146.231107
-137.276074,200,2151.412569
-235.287757,200,2157.535108
-132.302892,200,2162.252829
-235.500242,200,2167.534344
-137.843885,200,2173.783035
-20.75374,200,2178.188337
-136.773922,200,2182.349924
-315.018947,200,2188.522502
-131.346608,200,2193.853667
-131.673247,200,2201.477188
-290.296108,200,2208.613775
-124.649776,200,2214.279521
-235.376251,200,2219.156101
-227.812712,200,2222.924134
-123.081174,200,2227.682911
-120.616498,200,2232.713368
-1.53899,200,2237.94232
-128.81298,200,2241.693779
-117.934642,200,2245.528003
-353.513675,200,2251.020633
-225.236923,200,2255.496125
-121.678281,200,2260.233753
-294.788915,200,2264.813257
-3.732849,200,2269.968803
-219.956679,200,2273.825232
-126.847031,200,2277.657718
-366.714029,200,2283.207275
-127.572411,200,2287.471089
-117.72276,200,2291.813438
-115.66825,200,2298.118134
-221.088535,200,2305.200742
-124.401611,200,2311.675807
-124.59127,200,2318.406107
-130.360227,200,2322.779039
-3.603669,200,2326.939929
-121.069733,200,2333.298157
-122.014555,200,2338.240889
-117.526422,200,2342.47442
-122.372953,200,2349.194758
-4.130491,200,2356.689959
-230.497721,200,2365.086419
-121.521338,200,2371.696416
-119.05077,200,2381.340478
-131.605387,200,2392.669087
-3.455919,200,2399.57951
-125.808057,200,2403.957696
-128.126136,200,2409.438482
-118.483458,200,2415.677847
-335.715438,200,2421.265233
-126.506292,200,2427.060418
-122.734235,200,2431.82807
-116.840553,200,2435.580045
-119.849932,200,2439.971053
-121.367973,200,2446.557428
-225.918997,200,2450.816219
-225.298613,200,2455.263294
-228.099475,200,2461.833309
-218.6906,200,2467.40974
-124.979685,200,2471.595888
-3.61014,200,2477.628041
-124.711225,200,2481.507854
-121.24349,200,2485.456471
-121.919371,200,2491.040578
-225.040598,200,2495.928205
-318.857325,200,2499.937832
-119.902925,200,2504.317599
-3.156663,200,2510.14896
-220.352677,200,2513.87942
-3.331688,200,2517.869964
-126.452001,200,2523.659156
-120.270549,200,2528.097342
-232.894114,200,2531.845048
-123.510183,200,2536.077156
-221.973269,200,2541.726249
-3.614212,200,2545.654632
-3.159788,200,2549.589401
-249.721274,200,2555.263701
-121.407508,200,2559.613122
-120.902125,200,2563.626749
-222.172206,200,2567.799304
-119.158105,200,2573.729935
-254.603068,200,2577.678762
-121.512935,200,2581.649831
-125.388904,200,2587.455363
-247.359283,200,2591.746686
-119.926206,200,2595.645468
-119.074705,200,2599.796484
-127.584892,200,2605.619628
-124.401324,200,2609.618798
-234.468252,200,2614.293707
-119.316174,200,2620.36847
-118.383887,200,2624.36273
